date,ad_id,campaign_id,platform,conversion_type,conversions,attributed_revenue_usd,avg_order_value_usd,view_through_conversions,click_through_conversions
2025-03-01,AD001,CAMP01,SocialStream,Purchase,258,18060,70,58,200
2025-03-01,AD002,CAMP01,SocialStream,Purchase,89,5340,60,26,63
2025-03-01,AD003,CAMP02,SocialStream,Lead,156,3120,20,31,125
2025-03-02,AD001,CAMP01,SocialStream,Purchase,249,17430,70,55,194
2025-03-02,AD002,CAMP01,SocialStream,Purchase,86,5160,60,25,61
2025-03-02,AD003,CAMP02,SocialStream,Lead,149,2980,20,30,119
2025-03-03,AD003,CAMP02,SocialStream,Lead,144,2880,20,29,115
2025-03-03,AD004,CAMP02,SocialStream,Purchase,391,39100,100,83,308
2025-03-03,AD005,CAMP03,SocialStream,Lead,127,1905,15,29,98
2025-03-04,AD004,CAMP02,SocialStream,Purchase,381,38100,100,81,300
2025-03-04,AD005,CAMP03,SocialStream,Lead,123,1845,15,28,95
2025-03-04,AD006,CAMP03,SocialStream,Lead,109,1635,15,25,84
2025-03-05,AD006,CAMP03,SocialStream,Lead,106,1590,15,25,81
2025-03-05,AD007,CAMP04,SocialStream,Purchase,457,54840,120,99,358
2025-03-06,AD007,CAMP04,SocialStream,Purchase,445,53400,120,97,348
2025-03-06,AD008,CAMP04,SocialStream,Purchase,164,11480,70,38,126
2025-03-07,AD008,CAMP04,SocialStream,Purchase,159,11130,70,36,123
